Date,Price,Open,High,Low,Vol.,Change %
06/07/2024,"73,754.01","73,805.95","73,902.78","71,781.96",208556823,-0.15%
06/06/2024,"73,862.93","74,276.84","74,593.32","73,768.39",112794549,-0.48%
06/05/2024,"74,219.43","74,672.38","74,758.11","74,136.52",138772301,-0.60%
06/04/2024,"74,666.65","75,657.68","75,669.76","74,592.74",179207660,-1.20%
06/03/2024,"75,575.25","76,091.42","76,209.96","75,495.38",190984190,-0.40%
05/31/2024,"75,878.47","75,078.43","75,953.74","74,989.26",243276419,1.34%
05/30/2024,"74,878.12","74,986.02","75,300.03","74,585.35",175803745,0.06%
05/29/2024,"74,836.30","75,617.79","75,667.30","74,760.10",192226303,-0.90%
05/27/2024,"75,517.48","76,089.66","76,187.44","75,485.62",195296629,-0.61%
05/24/2024,"75,983.03","75,266.61","76,248.75","75,263.05",310418114,1.16%
05/23/2024,"75,114.47","74,982.16","75,284.74","74,726.06",336883972,0.21%
05/22/2024,"74,956.67","75,246.33","75,513.89","74,835.48",183367088,-0.33%
05/21/2024,"75,206.77","75,158.68","75,482.46","74,958.09",159509646,0.16%
05/20/2024,"75,084.00","75,454.97","75,618.49","74,734.24",141358802,-0.34%
05/17/2024,"75,342.34","74,981.29","75,401.11","74,947.71",188724737,0.55%
05/16/2024,"74,930.69","74,744.65","75,029.03","74,450.25",170467012,0.36%
05/15/2024,"74,663.98","74,779.84","75,115.32","74,440.87",251456212,0.18%
05/14/2024,"74,531.19","74,022.18","74,575.30","73,977.00",257367216,0.99%
05/13/2024,"73,799.11","73,315.02","74,114.22","73,109.76",308961397,0.98%
05/10/2024,"73,085.50","72,888.93","73,449.37","72,876.83",320498215,0.59%
05/09/2024,"72,658.05","72,819.48","72,889.78","72,889.78",235199535,0.08%
05/08/2024,"72,601.81","73,079.18","73,079.18","72,358.19",254873342,-0.22%
05/07/2024,"72,761.19","73,062.52","73,260.08","72,707.95",269925733,-0.00%
05/06/2024,"72,764.24","72,485.86","73,060.74","72,462.49",313376780,1.20%
05/03/2024,"71,902.09","70,734.47","71,986.43","70,671.71",227950152,1.76%
05/02/2024,"70,657.64","71,199.95","71,292.83","70,562.12",225619410,-0.63%
04/30/2024,"71,102.54","71,780.95","72,119.65","71,059.62",232912683,-0.83%
04/29/2024,"71,695.03","73,022.89","73,300.75","71,602.94",281385875,-1.44%
04/26/2024,"72,742.74","72,109.79","72,862.41","71,764.18",301363509,1.07%
04/25/2024,"71,971.40","72,254.38","72,593.25","71,700.53",423966250,-0.11%
04/24/2024,"72,051.89","71,472.87","72,414.32","71,467.01",324513222,0.97%
04/23/2024,"71,359.41","71,433.46","71,846.64","71,338.43",383445458,-0.10%
04/22/2024,"71,433.46","71,009.67","71,861.18","70,882.44",360535650,0.74%
04/19/2024,"70,909.90","70,423.71","70,968.98","70,186.93",214724945,0.88%
04/18/2024,"70,290.11","70,506.20","70,645.29","69,783.31",237643900,-0.06%
04/17/2024,"70,333.31","70,396.65","70,725.49","70,037.28",221820349,-0.21%
04/16/2024,"70,483.66","70,661.42","71,092.61","70,405.24",219859414,-0.09%
04/15/2024,"70,544.58","70,218.51","70,608.88","69,914.10",255640449,0.33%
04/09/2024,"70,314.71","69,857.15","70,677.29","69,857.14",219290682,1.00%
04/08/2024,"69,619.98","68,716.64","69,720.03","68,710.49",188866316,1.76%
04/04/2024,"68,416.78","68,210.16","68,439.37","67,912.35",201021698,0.98%
04/03/2024,"67,756.03","66,998.21","67,873.21","66,985.01",140848242,1.30%
04/02/2024,"66,886.26","66,793.38","66,959.54","66,573.63",94865141,0.13%
04/01/2024,"66,796.32","67,168.02","67,304.36","66,740.91",79557720,-0.31%
03/29/2024,"67,005.10","67,232.20","67,307.63","66,822.42",142211477,-0.20%
03/28/2024,"67,142.12","66,690.94","67,246.02","66,690.94",231313539,0.89%
03/27/2024,"66,547.78","66,003.44","66,607.87","66,003.43",189118251,0.97%
