"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2021","19,658.11","19,654.65","19,833.46","19,611.54","","0.02%"
"06/04/2021","19,654.65","19,635.61","19,737.94","19,621.54","","0.10%"
"06/03/2021","19,635.61","19,657.60","19,789.53","19,590.28","","-0.11%"
"06/02/2021","19,657.60","19,731.43","19,770.88","19,612.50","","-0.37%"
"06/01/2021","19,731.43","19,602.38","19,755.88","19,602.38","","0.66%"
"05/31/2021","19,602.38","19,299.48","19,659.93","19,299.48","","1.57%"
"05/28/2021","19,299.48","19,137.48","19,365.85","19,093.47","","0.85%"
"05/27/2021","19,137.48","19,126.85","19,293.10","19,083.75","","0.06%"
"05/26/2021","19,126.85","18,898.19","19,157.23","18,898.19","","1.21%"
"05/25/2021","18,898.19","18,780.51","18,932.75","18,759.68","","0.63%"
"05/24/2021","18,780.51","18,719.15","18,906.86","18,719.15","","0.33%"
"05/21/2021","18,719.15","18,574.93","18,746.33","18,565.07","","0.78%"
"05/20/2021","18,574.93","18,668.95","18,731.29","18,552.01","","-0.50%"
"05/19/2021","18,668.95","18,826.01","18,830.67","18,653.64","","-0.83%"
"05/18/2021","18,826.01","18,731.83","18,857.84","18,649.85","","0.50%"
"05/17/2021","18,731.83","18,469.87","18,746.98","18,469.87","","1.42%"
"05/06/2021","18,469.87","18,382.98","18,499.04","18,355.49","","0.47%"
"05/05/2021","18,382.98","18,179.32","18,496.99","18,179.32","","0.67%"
"05/04/2021","18,260.34","18,027.27","18,275.86","18,027.27","","1.29%"
"05/03/2021","18,027.27","18,100.64","18,153.48","17,832.77","","-0.41%"
"04/30/2021","18,100.64","18,351.30","18,457.31","18,059.01","","-1.37%"
"04/29/2021","18,351.30","18,441.44","18,485.16","18,308.52","","-0.61%"
"04/28/2021","18,464.43","18,580.29","18,715.30","18,444.89","","-0.62%"
"04/27/2021","18,580.29","18,797.30","18,903.81","18,517.05","","-1.15%"
"04/26/2021","18,797.30","18,276.47","18,946.64","18,147.52","","2.85%"
"04/23/2021","18,276.47","18,375.17","18,375.17","18,144.23","","-0.54%"
"04/22/2021","18,375.17","18,503.46","18,640.29","18,352.84","","-0.69%"
"04/21/2021","18,503.46","18,532.90","18,675.70","18,472.48","","-0.16%"
"04/20/2021","18,532.90","18,362.90","18,626.29","18,362.90","","0.93%"
"04/19/2021","18,362.90","18,537.78","18,537.78","18,235.99","","-0.94%"
"04/16/2021","18,537.78","18,500.58","18,612.88","18,500.58","","0.15%"
"04/15/2021","18,509.60","18,544.38","18,612.29","18,478.08","","-0.19%"
"04/14/2021","18,544.38","18,436.44","18,576.77","18,436.44","","0.59%"
"04/13/2021","18,436.44","18,441.73","18,505.53","18,371.07","","-0.03%"
"04/12/2021","18,442.89","18,484.91","18,552.29","18,325.19","","-0.23%"
