date,open,hig,low ,close,volume ,change
04-May-23,"15,371.77","15,412.70","15,343.53","15,359.15","60,983,216",-9.4
03-May-23,"15,401.54","15,430.84","15,303.47","15,368.55","96,998,040",37.28
02-May-23,"15,257.19","15,376.18","15,203.82","15,331.27","52,901,576",-44.91
28-Apr-23,"15,393.09","15,482.17","15,346.11","15,376.18","79,394,248",8.38
27-Apr-23,"15,280.45","15,391.35","15,236.35","15,367.80","51,505,536",73.47
26-Apr-23,"15,398.89","15,417.77","15,270.40","15,294.33","59,618,844",-12.39
20-Apr-23,"15,159.29","15,333.73","15,095.58","15,306.72","52,969,808",211.14
19-Apr-23,"15,033.85","15,109.12","14,995.11","15,095.58","23,973,916",15.15
18-Apr-23,"15,007.41","15,101.46","14,985.29","15,080.43","17,287,078",88.05
17-Apr-23,"15,023.50","15,056.89","14,969.94","14,992.38","22,158,760",2.98
13-Apr-23,"15,024.59","15,087.15","14,949.02","14,989.40","24,733,200",28.58
12-Apr-23,"14,809.51","14,986.93","14,804.99","14,960.82","20,589,016",153.66
11-Apr-23,"14,848.47","14,860.83","14,785.47","14,807.16","10,496,072",-26.02
10-Apr-23,"14,921.91","14,968.44","14,820.76","14,833.18","12,772,538",-81.82
07-Apr-23,"15,086.95","15,124.32","14,899.32","14,915.00","30,427,364",-131.09
06-Apr-23,"14,794.50","15,059.38","14,761.57","15,046.09","59,792,120",284.52
05-Apr-23,"14,778.05","14,840.10","14,748.26","14,761.57","22,505,768",10.57
04-Apr-23,"14,832.07","14,836.30","14,660.90","14,751.00","23,528,756",-70.23
03-Apr-23,"14,870.53","14,911.17","14,811.45","14,821.23","18,183,782",-31.58
31-Mar-23,"14,764.20","14,854.18","14,737.14","14,852.81","36,119,396",85.79
30-Mar-23,"14,779.65","14,835.64","14,745.30","14,767.02","30,561,130",-4.34
29-Mar-23,"14,828.51","14,868.10","14,756.11","14,771.36","19,748,450",-55.94
28-Mar-23,"14,789.00","14,878.62","14,786.88","14,827.30","20,337,572",40.42
27-Mar-23,"14,734.32","14,813.53","14,682.18","14,786.88","22,460,048",48.36
24-Mar-23,"14,885.20","14,915.75","14,718.27","14,738.52","12,400,827",-177.23
22-Mar-23,"15,090.95","15,137.19","14,902.73","14,915.75","32,446,786",-172.28
21-Mar-23,"15,041.28","15,121.44","14,994.96","15,088.03","41,268,384",44.86
20-Mar-23,"15,206.23","15,352.01","15,036.17","15,043.17","54,578,336",-308.84
17-Mar-23,"15,524.66","15,563.73","15,315.15","15,352.01","56,928,612",-166.23
16-Mar-23,"15,619.63","15,663.59","15,500.75","15,518.24","54,654,580",-70
15-Mar-23,"15,553.14","15,654.15","15,478.15","15,588.24","52,068,360",5.71
14-Mar-23,"15,607.77","15,657.62","15,517.94","15,582.53","70,658,512",-75.09
13-Mar-23,"15,598.33","15,772.49","15,551.73","15,657.62","116,666,736",105.89
10-Mar-23,"15,537.96","15,662.84","15,494.56","15,551.73","88,531,056",-111.11
09-Mar-23,"15,583.91","15,672.24","15,551.39","15,662.84","75,341,392",72.84
08-Mar-23,"15,595.80","15,669.81","15,527.37","15,590.00","59,276,179",62.63
07-Mar-23,"15,585.53","15,590.48","15,509.14","15,527.37","69,828,936",-48.66
06-Mar-23,"15,601.14","15,727.87","15,557.98","15,576.03","87,281,669",-7.76
03-Mar-23,"15,229.16","15,595.58","15,175.70","15,583.79","72,016,240",270.38
02-Mar-23,"15,130.22","15,383.22","15,119.99","15,313.41","68,416,880",160.25
01-Mar-23,"15,175.19","15,215.93","14,968.44","15,153.16","72,038,656",-33.78
28-Feb-23,"15,349.56","15,361.30","15,158.40","15,186.94","43,413,936",-164.59
27-Feb-23,"15,327.02","15,385.21","15,274.16","15,351.53","68,997,872",25.65
24-Feb-23,"15,416.64","15,435.25","15,316.43","15,325.88","54,028,368",-82.11
23-Feb-23,"15,530.28","15,530.28","15,374.74","15,407.99","65,277,520",-120.29
22-Feb-23,"15,440.02","15,549.57","15,393.77","15,528.28","80,205,136",95.64
21-Feb-23,"15,324.95","15,439.64","15,324.95","15,432.64","33,481,248",107.69
